Model,Emotion,Precision,Recall,F1-Score
Linear SVM,angry,0.20689655172413793,0.1935483870967742,0.2
Linear SVM,disgust,0.0,0.0,0.0
Linear SVM,fear,0.28205128205128205,0.3235294117647059,0.3013698630136986
Linear SVM,happy,0.45652173913043476,0.4772727272727273,0.4666666666666667
Linear SVM,sad,0.13793103448275862,0.12903225806451613,0.13333333333333333
Linear SVM,surprise,0.38095238095238093,0.3333333333333333,0.35555555555555557
Linear SVM,neutral,0.2647058823529412,0.2647058823529412,0.2647058823529412
Random Forest,angry,0.13043478260869565,0.0967741935483871,0.1111111111111111
Random Forest,disgust,0.0,0.0,0.0
Random Forest,fear,0.25,0.20588235294117646,0.22580645161290322
Random Forest,happy,0.26732673267326734,0.6136363636363636,0.3724137931034483
Random Forest,sad,0.15,0.0967741935483871,0.11764705882352941
Random Forest,surprise,0.25,0.041666666666666664,0.07142857142857142
Random Forest,neutral,0.16666666666666666,0.11764705882352941,0.13793103448275862
